Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, male",SP.POP.TOTL.MA.IN,Jamaica,JAM,1174572,1293403,1382315,1387628,1391829,1394537,1396014,1396657,1399668,1402951,1402379,1401001
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,
